,DinoJumpVelocity,DinoJumping,DinoJumpspotX,DinoMidair,DinoMinJumpHeight,DinoReachedMinHeight,DinoSpeedDrop,DinoSpritePosX,DinoSpritePosY,DinoStatus,DinoXPos,DinoYPos,ObstacleDimHeight_0,ObstacleDimHeight_1,ObstacleDimHeight_2,ObstacleDimWidth_0,ObstacleDimWidth_1,ObstacleDimWidth_2,ObstacleGapCoefficient_0,ObstacleGapCoefficient_1,ObstacleGapCoefficient_2,ObstacleGap_0,ObstacleGap_1,ObstacleGap_2,ObstacleSpritePosX_0,ObstacleSpritePosX_1,ObstacleSpritePosX_2,ObstacleSpritePosY_0,ObstacleSpritePosY_1,ObstacleSpritePosY_2,ObstacleTypeConfigHeight_0,ObstacleTypeConfigHeight_1,ObstacleTypeConfigHeight_2,ObstacleTypeConfigMinGap_0,ObstacleTypeConfigMinGap_1,ObstacleTypeConfigMinGap_2,ObstacleTypeConfigMinSpeed_0,ObstacleTypeConfigMinSpeed_1,ObstacleTypeConfigMinSpeed_2,ObstacleTypeConfigMultipleSpeed_0,ObstacleTypeConfigMultipleSpeed_1,ObstacleTypeConfigMultipleSpeed_2,ObstacleTypeConfigType_0,ObstacleTypeConfigType_1,ObstacleTypeConfigType_2,ObstacleTypeConfigWidth_0,ObstacleTypeConfigWidth_1,ObstacleTypeConfigWidth_2,ObstacleTypeConfigYPos_0,ObstacleTypeConfigYPos_1,ObstacleTypeConfigYPos_2,ObstacleWidth_0,ObstacleWidth_1,ObstacleWidth_2,ObstacleXPos_0,ObstacleXPos_1,ObstacleXPos_2,ObstacleYPos_0,ObstacleYPos_1,ObstacleYPos_2,RunnerCurrentSpeed,frame_ts,key_pressed,key_event_type
18,7.985099997465304,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.2770000000000925,1549808472.925945,,
19,8.557499997411659,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.279000000000093,1549808472.943733,,
20,9.165899999067923,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.281000000000094,1549808472.963383,,
21,9.759900000040224,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.2830000000000945,1549808472.982238,,
22,10.35749999908804,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.287000000000096,1549808473.000202,,
23,10.958700000402322,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.2890000000000965,1549808473.0177212,,
24,11.552699997183671,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.291000000000097,1549808473.035852,,
25,12.157499996573469,True,0.0,False,63.0,True,False,1678.0,2.0,JUMPING,24.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.293000000000098,1549808473.0534039,,
26,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.2950000000000985,1549808473.0708869,,
27,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.297000000000099,1549808473.0882702,,
